year_month,total_pnl,total_bets,avg_pnl_per_bet,total_staked,total_wins,win_rate,strategy_id,strategy_index,monthly_roi
2024-10,865.9286,46,18.824534782608694,9285.41,26,0.5652173913043478,strategy_2446,2446,0.09325690518781615
2024-11,-1470.3542,69,-21.30948115942029,14357.44,33,0.4782608695652174,strategy_2446,2446,-0.1024106108052689
2024-12,395.3912,57,6.936687719298246,10103.56,31,0.543859649122807,strategy_2446,2446,0.03913384985094363
2025-01,616.2129999999999,65,9.480199999999998,12652.05,33,0.5076923076923077,strategy_2446,2446,0.04870459727870186
2025-02,1395.2326,40,34.880815,8925.91,21,0.525,strategy_2446,2446,0.1563126448731838
2025-03,-1227.5067000000001,45,-27.27792666666667,10223.460000000001,20,0.4444444444444444,strategy_2446,2446,-0.1200676385489844
2025-04,0.6826000000000079,28,0.02437857142857171,6385.85,14,0.5,strategy_2446,2446,0.00010689258281982945
2024-10,865.9286,46,18.824534782608694,9285.41,26,0.5652173913043478,strategy_2447,2447,0.09325690518781615
2024-11,-1470.3542,69,-21.30948115942029,14357.44,33,0.4782608695652174,strategy_2447,2447,-0.1024106108052689
2024-12,395.3912,57,6.936687719298246,10103.56,31,0.543859649122807,strategy_2447,2447,0.03913384985094363
2025-01,616.2129999999999,65,9.480199999999998,12652.05,33,0.5076923076923077,strategy_2447,2447,0.04870459727870186
2025-02,1395.2326,40,34.880815,8925.91,21,0.525,strategy_2447,2447,0.1563126448731838
2025-03,-1227.5067000000001,45,-27.27792666666667,10223.460000000001,20,0.4444444444444444,strategy_2447,2447,-0.1200676385489844
2025-04,0.6826000000000079,28,0.02437857142857171,6385.85,14,0.5,strategy_2447,2447,0.00010689258281982945
2024-10,-194.70859999999993,26,-7.4887923076923055,7169.8,11,0.4230769230769231,strategy_2184,2184,-0.027156768668582097
2024-11,-3160.0456999999997,38,-83.15909736842104,10110.36,11,0.2894736842105263,strategy_2184,2184,-0.31255521069477243
2024-12,1010.7392000000002,35,28.878262857142865,6596.74,17,0.4857142857142857,strategy_2184,2184,0.1532179834281782
2025-01,1848.8166999999999,44,42.01856136363636,10781.57,22,0.5,strategy_2184,2184,0.17147935783007484
2025-02,3443.1343000000006,29,118.72876896551726,10108.69,17,0.5862068965517241,strategy_2184,2184,0.3406113255031068
2025-03,-2614.9365,38,-68.81411842105263,14298.27,13,0.34210526315789475,strategy_2184,2184,-0.18288481753386945
2025-04,216.5828000000002,16,13.536425000000012,5334.12,7,0.4375,strategy_2184,2184,0.04060328601531278
2024-10,-194.70859999999993,26,-7.4887923076923055,7169.8,11,0.4230769230769231,strategy_2186,2186,-0.027156768668582097
2024-11,-3160.0456999999997,38,-83.15909736842104,10110.36,11,0.2894736842105263,strategy_2186,2186,-0.31255521069477243
2024-12,1010.7392000000002,35,28.878262857142865,6596.74,17,0.4857142857142857,strategy_2186,2186,0.1532179834281782
2025-01,1848.8166999999999,44,42.01856136363636,10781.57,22,0.5,strategy_2186,2186,0.17147935783007484
2025-02,3443.1343000000006,29,118.72876896551726,10108.69,17,0.5862068965517241,strategy_2186,2186,0.3406113255031068
2025-03,-2614.9365,38,-68.81411842105263,14298.27,13,0.34210526315789475,strategy_2186,2186,-0.18288481753386945
2025-04,216.5828000000002,16,13.536425000000012,5334.12,7,0.4375,strategy_2186,2186,0.04060328601531278
2024-10,-194.70859999999993,26,-7.4887923076923055,7169.8,11,0.4230769230769231,strategy_2185,2185,-0.027156768668582097
2024-11,-3160.0456999999997,38,-83.15909736842104,10110.36,11,0.2894736842105263,strategy_2185,2185,-0.31255521069477243
2024-12,1010.7392000000002,35,28.878262857142865,6596.74,17,0.4857142857142857,strategy_2185,2185,0.1532179834281782
2025-01,1848.8166999999999,44,42.01856136363636,10781.57,22,0.5,strategy_2185,2185,0.17147935783007484
2025-02,3443.1343000000006,29,118.72876896551726,10108.69,17,0.5862068965517241,strategy_2185,2185,0.3406113255031068
2025-03,-2614.9365,38,-68.81411842105263,14298.27,13,0.34210526315789475,strategy_2185,2185,-0.18288481753386945
2025-04,216.5828000000002,16,13.536425000000012,5334.12,7,0.4375,strategy_2185,2185,0.04060328601531278
2024-10,964.3658000000003,20,48.21829000000001,5936.7699999999995,10,0.5,strategy_2634,2634,0.1624394746638324
2024-11,-3871.8881,33,-117.32994242424243,9318.92,8,0.24242424242424243,strategy_2634,2634,-0.41548678387624316
2024-12,-23.225799999999936,27,-0.8602148148148124,5379.75,12,0.4444444444444444,strategy_2634,2634,-0.004317263813374215
2025-01,1295.6753,35,37.01929428571429,7657.49,17,0.4857142857142857,strategy_2634,2634,0.16920365550591646
2025-02,3718.1832,25,148.727328,7806.92,16,0.64,strategy_2634,2634,0.47626761898418324
2025-03,-2666.8166,27,-98.77098518518518,8987.4,8,0.2962962962962963,strategy_2634,2634,-0.2967283752809489
2025-04,1117.2240000000002,13,85.9403076923077,4217.04,7,0.5384615384615384,strategy_2634,2634,0.26493085197199934
2024-10,964.3658000000003,20,48.21829000000001,5936.7699999999995,10,0.5,strategy_2635,2635,0.1624394746638324
2024-11,-3871.8881,33,-117.32994242424243,9318.92,8,0.24242424242424243,strategy_2635,2635,-0.41548678387624316
2024-12,-23.225799999999936,27,-0.8602148148148124,5379.75,12,0.4444444444444444,strategy_2635,2635,-0.004317263813374215
2025-01,1295.6753,35,37.01929428571429,7657.49,17,0.4857142857142857,strategy_2635,2635,0.16920365550591646
2025-02,3718.1832,25,148.727328,7806.92,16,0.64,strategy_2635,2635,0.47626761898418324
2025-03,-2666.8166,27,-98.77098518518518,8987.4,8,0.2962962962962963,strategy_2635,2635,-0.2967283752809489
2025-04,1117.2240000000002,13,85.9403076923077,4217.04,7,0.5384615384615384,strategy_2635,2635,0.26493085197199934
2024-10,964.3658000000003,20,48.21829000000001,5936.7699999999995,10,0.5,strategy_2636,2636,0.1624394746638324
2024-11,-3871.8881,33,-117.32994242424243,9318.92,8,0.24242424242424243,strategy_2636,2636,-0.41548678387624316
2024-12,-23.225799999999936,27,-0.8602148148148124,5379.75,12,0.4444444444444444,strategy_2636,2636,-0.004317263813374215
2025-01,1295.6753,35,37.01929428571429,7657.49,17,0.4857142857142857,strategy_2636,2636,0.16920365550591646
2025-02,3718.1832,25,148.727328,7806.92,16,0.64,strategy_2636,2636,0.47626761898418324
2025-03,-2666.8166,27,-98.77098518518518,8987.4,8,0.2962962962962963,strategy_2636,2636,-0.2967283752809489
2025-04,1117.2240000000002,13,85.9403076923077,4217.04,7,0.5384615384615384,strategy_2636,2636,0.26493085197199934
2024-10,-29.89609999999999,26,-1.1498499999999996,2531.19,11,0.4230769230769231,strategy_2166,2166,-0.011811084904728602
2024-11,-1170.0359999999998,38,-30.790421052631576,3668.2400000000002,11,0.2894736842105263,strategy_2166,2166,-0.3189638627788803
2024-12,473.7824,35,13.53664,3027.93,17,0.4857142857142857,strategy_2166,2166,0.15647072422413993
2025-01,759.6888999999999,44,17.265656818181814,4181.63,22,0.5,strategy_2166,2166,0.1816729122375724
2025-02,1137.4903,29,39.22380344827586,3115.58,17,0.5862068965517241,strategy_2166,2166,0.36509744574043995
2025-03,-755.9854999999999,38,-19.89435526315789,4207.88,13,0.34210526315789475,strategy_2166,2166,-0.17965947222829545
2025-04,97.26830000000002,16,6.0792687500000016,1708.8400000000001,7,0.4375,strategy_2166,2166,0.05692065962875402
2024-10,681.4341999999999,53,12.857249056603772,5387.85,33,0.6226415094339622,strategy_2256,2256,0.12647608972038937
2024-11,-564.0751999999999,76,-7.422042105263157,8061.58,39,0.5131578947368421,strategy_2256,2256,-0.0699707997687798
2024-12,-325.5978,64,-5.087465625,6044.45,32,0.5,strategy_2256,2256,-0.05386723357791032
2025-01,326.49660000000006,71,4.598543661971831,6892.35,37,0.5211267605633803,strategy_2256,2256,0.04737086770114693
2025-02,737.2529999999999,41,17.981780487804876,4304.4,22,0.5365853658536586,strategy_2256,2256,0.1712789238918316
2025-03,-672.2558,49,-13.71950612244898,5167.94,22,0.4489795918367347,strategy_2256,2256,-0.1300819668959005
2025-04,-50.19450000000002,30,-1.6731500000000006,3156.09,15,0.5,strategy_2256,2256,-0.01590401414408335
2024-10,681.4341999999999,53,12.857249056603772,5387.85,33,0.6226415094339622,strategy_2258,2258,0.12647608972038937
2024-11,-564.0751999999999,76,-7.422042105263157,8061.58,39,0.5131578947368421,strategy_2258,2258,-0.0699707997687798
2024-12,-325.5978,64,-5.087465625,6044.45,32,0.5,strategy_2258,2258,-0.05386723357791032
2025-01,326.49660000000006,71,4.598543661971831,6892.35,37,0.5211267605633803,strategy_2258,2258,0.04737086770114693
2025-02,737.2529999999999,41,17.981780487804876,4304.4,22,0.5365853658536586,strategy_2258,2258,0.1712789238918316
2025-03,-672.2558,49,-13.71950612244898,5167.94,22,0.4489795918367347,strategy_2258,2258,-0.1300819668959005
2025-04,-50.19450000000002,30,-1.6731500000000006,3156.09,15,0.5,strategy_2258,2258,-0.01590401414408335
2024-10,681.4341999999999,53,12.857249056603772,5387.85,33,0.6226415094339622,strategy_2257,2257,0.12647608972038937
2024-11,-564.0751999999999,76,-7.422042105263157,8061.58,39,0.5131578947368421,strategy_2257,2257,-0.0699707997687798
2024-12,-325.5978,64,-5.087465625,6044.45,32,0.5,strategy_2257,2257,-0.05386723357791032
2025-01,326.49660000000006,71,4.598543661971831,6892.35,37,0.5211267605633803,strategy_2257,2257,0.04737086770114693
2025-02,737.2529999999999,41,17.981780487804876,4304.4,22,0.5365853658536586,strategy_2257,2257,0.1712789238918316
2025-03,-672.2558,49,-13.71950612244898,5167.94,22,0.4489795918367347,strategy_2257,2257,-0.1300819668959005
2025-04,-50.19450000000002,30,-1.6731500000000006,3156.09,15,0.5,strategy_2257,2257,-0.01590401414408335
2024-10,595.3763999999999,50,11.907527999999997,5066.16,30,0.6,strategy_2346,2346,0.1175202520252025
2024-11,-559.5211999999999,76,-7.3621210526315775,7996.62,39,0.5131578947368421,strategy_2346,2346,-0.06996971220340593
2024-12,-322.89650000000006,64,-5.045257812500001,5995.7699999999995,32,0.5,strategy_2346,2346,-0.05385405043889277
2025-01,323.89919999999995,71,4.561960563380281,6836.88,37,0.5211267605633803,strategy_2346,2346,0.047375293993751524
2025-02,731.3299000000002,41,17.837314634146345,4269.8,22,0.5365853658536586,strategy_2346,2346,0.1712796618108577
2025-03,-666.7943,49,-13.60804693877551,5126.39,22,0.4489795918367347,strategy_2346,2346,-0.13007092710464868
2025-04,-49.82199999999996,30,-1.660733333333332,3130.71,15,0.5,strategy_2346,2346,-0.01591396200861784
